order_id,customer_id,product_name,category,quantity,price,order_date,region,status
1001,C001,Laptop Pro 15,Electronics,2,1299.99,2024-01-15,North America,Completed
1002,C002,Wireless Mouse,Electronics,5,29.99,2024-01-15,Europe,Completed
1003,C003,Office Chair,Furniture,1,349.99,2024-01-16,Asia,Pending
1004,C001,USB-C Cable,Electronics,3,19.99,2024-01-17,North America,Completed
1005,C004,Standing Desk,Furniture,1,599.99,,Europe,Cancelled
1006,C005,Mechanical Keyboard,Electronics,2,149.99,2024-01-18,North America,Completed
1007,C002,Monitor 27",Electronics,1,449.99,2024-01-19,Europe,Completed
1008,C006,Desk Lamp,Furniture,,39.99,2024-01-20,Asia,Completed
1009,C007,Laptop Pro 13,Electronics,1,999.99,2024-01-21,North America,Completed
1010,C003,Webcam HD,Electronics,2,89.99,2024-01-22,Asia,Completed
1011,C008,Ergonomic Mouse,Electronics,4,45.99,2024-01-23,Europe,Completed
1012,C009,Bookshelf,Furniture,1,199.99,2024-01-24,North America,Pending
1013,C010,Headphones,Electronics,1,199.99,,Asia,Completed
1014,C004,Cable Organizer,Electronics,10,12.99,2024-01-26,Europe,Completed
1015,C005,Phone Stand,Electronics,3,24.99,2024-01-27,North America,Completed
1016,C001,Laptop Sleeve,Electronics,1,34.99,2024-01-28,North America,Completed
1017,C011,Conference Table,Furniture,1,899.99,2024-01-29,Europe,Pending
1018,C012,Whiteboard,Furniture,2,129.99,2024-01-30,Asia,Completed
1019,C006,Docking Station,Electronics,,179.99,2024-01-31,Asia,Completed
1020,C013,Executive Chair,Furniture,1,699.99,2024-02-01,North America,Completed
1021,C014,Laptop Pro 15,Electronics,3,1299.99,2024-02-02,Europe,Completed
1022,C015,Wireless Keyboard,Electronics,2,79.99,2024-02-03,Asia,Completed
1023,C002,Monitor Arm,Furniture,1,149.99,,Europe,Cancelled
1024,C016,HDMI Cable,Electronics,5,15.99,2024-02-05,North America,Completed
1025,C017,Desk Pad,Electronics,1,29.99,2024-02-06,Asia,Completed
1026,C018,File Cabinet,Furniture,2,249.99,2024-02-07,Europe,Pending
1027,C003,USB Hub,Electronics,3,39.99,2024-02-08,Asia,Completed
1028,C019,Task Chair,Furniture,1,279.99,2024-02-09,North America,Completed
1029,C020,Laptop Bag,Electronics,,69.99,2024-02-10,Europe,Completed
1030,C001,Wireless Charger,Electronics,2,49.99,2024-02-11,North America,Completed
